import time: self [us] | cumulative | imported package
import time:        61 |         61 |                             chardet
import time:     18519 |      18655 |                           bs4.dammit
import time:       275 |      18929 |                         bs4.formatter
import time:       180 |        180 |                         bs4._warnings
import time:       245 |        245 |                         bs4.filter
import time:      1678 |      62937 |                       bs4.element
import time:       158 |        158 |                       bs4.exceptions
import time:       253 |        253 |                       bs4.builder._htmlparser
import time:        67 |         67 |                         html5lib
import time:       237 |        303 |                       bs4.builder._html5lib
import time:       122 |        122 |                         lxml
import time:      1577 |       1577 |                           lxml._elementpath
import time:       297 |        297 |                           gzip
import time:        63 |         63 |                           rnc2rng
import time:      4281 |       6216 |                         lxml.etree
import time:       319 |       6656 |                       bs4.builder._lxml
import time:       629 |      70935 |                     bs4.builder
import time:       832 |      71767 |                   bs4
import time:       144 |      71910 |                 atria_types._utilities._ocr_processors._hocr_processor
import time:       189 |      72181 |               atria_types._utilities._ocr_processors._base
import time:       119 |        119 |               atria_datasets.core.dataset._exceptions
import time:       258 |        258 |               atria_datasets.core.dataset._split_iterators
import time:      6354 |     130905 |             atria_datasets.core.dataset._datasets
import time:       107 |        107 |               atria_datasets.core.dataset_splitters
import time:       201 |        308 |             atria_datasets.core.dataset_splitters.standard_splitter
import time:       289 |     272725 |           atria_datasets.core
import time:        20 |     272744 |         atria_datasets.core.dataset
import time:        17 |     272761 |       atria_datasets.core.dataset._common
import time:       468 |     396399 |     atria_datasets.registry.registry_groups
import time:       171 |     396569 |   atria_datasets.registry
import time:       195 |     397301 | atria_datasets
import time:        99 |         99 |   atria_datasets.registry.ser
import time:       772 |        772 |         pytz.exceptions
import time:       207 |        207 |         pytz.lazy
import time:       185 |        185 |         pytz.tzinfo
import time:       136 |        136 |         pytz.tzfile
import time:       777 |       2075 |       pytz
import time:       174 |        174 |         dateutil._version
import time:       214 |        387 |       dateutil
import time:       128 |        128 |         pandas.compat._constants
import time:       213 |        213 |         pandas.compat.compressors
import time:       145 |        145 |             pandas.util
import time:      2055 |       2199 |           pandas.util.version
import time:       281 |       2480 |         pandas.compat.numpy
import time:       222 |        222 |         pandas.compat.pyarrow
import time:       380 |       3421 |       pandas.compat
import time:      2833 |       2833 |           pandas._typing
import time:       122 |        122 |           pandas.util._exceptions
import time:       656 |       3610 |         pandas._config.config
import time:       168 |        168 |         pandas._config.dates
import time:       113 |        113 |         pandas._config.display
import time:       230 |       4120 |       pandas._config
import time:        94 |         94 |         pandas.core
import time:       713 |        807 |       pandas.core.config_init
import time:       306 |        306 |           pandas._libs.pandas_parser
import time:       151 |        151 |           pandas._libs.pandas_datetime
import time:       218 |        218 |                       pandas._libs.tslibs.ccalendar
import time:       288 |        288 |                       pandas._libs.tslibs.np_datetime
import time:       877 |       1383 |                     pandas._libs.tslibs.dtypes
import time:       168 |        168 |                       pandas._libs.tslibs.base
import time:       450 |        450 |                           pandas._libs.tslibs.nattype
import time:       177 |        177 |                               pandas.compat._optional
import time:       803 |        803 |                                   six
import time:        43 |         43 |                                   six.moves
import time:       158 |        158 |                                   dateutil.tz._common
import time:       130 |        130 |                                   dateutil.tz._factories
import time:        16 |         16 |                                     six.moves.winreg
import time:       179 |        195 |                                   dateutil.tz.win
import time:       884 |       2211 |                                 dateutil.tz.tz
import time:       169 |       2380 |                               dateutil.tz
import time:       444 |       3000 |                             pandas._libs.tslibs.timezones
import time:       581 |        581 |                               _strptime
import time:       116 |        116 |                               pandas._config.localization
import time:       439 |       1135 |                             pandas._libs.tslibs.fields
import time:       739 |       4873 |                           pandas._libs.tslibs.timedeltas
import time:       333 |        333 |                           pandas._libs.tslibs.tzconversion
import time:       783 |       6437 |                         pandas._libs.tslibs.timestamps
import time:       206 |        206 |                         pandas._libs.properties
import time:      1649 |       8291 |                       pandas._libs.tslibs.offsets
import time:       100 |        100 |                             dateutil._common
import time:       973 |       1073 |                           dateutil.parser._parser
import time:       207 |        207 |                           dateutil.parser.isoparser
import time:       231 |       1509 |                         dateutil.parser
import time:       637 |        637 |                         pandas._libs.tslibs.strptime
import time:       548 |       2693 |                       pandas._libs.tslibs.parsing
import time:       474 |      11625 |                     pandas._libs.tslibs.conversion
import time:       543 |        543 |                     pandas._libs.tslibs.period
import time:       361 |        361 |                     pandas._libs.tslibs.vectorized
import time:       265 |      14175 |                   pandas._libs.tslibs
import time:        19 |      14194 |                 pandas._libs.tslibs.nattype
import time:       174 |        174 |                 pandas._libs.ops_dispatch
import time:       403 |      14769 |               pandas._libs.missing
import time:      1890 |      16658 |             pandas._libs.hashtable
import time:       953 |        953 |             pandas._libs.algos
import time:       936 |      18546 |           pandas._libs.interval
import time:       190 |      19192 |         pandas._libs
import time:       115 |        115 |           pandas.core.dtypes
import time:       857 |        857 |           pandas._libs.lib
import time:       507 |        507 |           pandas.errors
import time:       350 |        350 |             pandas.core.dtypes.generic
import time:       291 |        640 |           pandas.core.dtypes.base
import time:       163 |        163 |           pandas.core.dtypes.inference
import time:      1391 |       3671 |         pandas.core.dtypes.dtypes
import time:       292 |        292 |           pandas.core.dtypes.common
import time:       340 |        631 |         pandas.core.dtypes.missing
import time:       234 |        234 |           pandas.util._decorators
import time:        97 |         97 |               pandas.io
import time:       207 |        304 |             pandas.io._util
import time:       526 |        830 |           pandas.core.dtypes.cast
import time:       148 |        148 |             pandas.core.dtypes.astype
import time:       224 |        372 |           pandas.core.dtypes.concat
import time:       107 |        107 |             pandas.core.array_algos
import time:       216 |        216 |               pandas.core.common
import time:       256 |        471 |             pandas.core.construction
import time:       372 |        948 |           pandas.core.array_algos.take
import time:       154 |        154 |             pandas.core.indexers.utils
import time:       139 |        293 |           pandas.core.indexers
import time:       615 |       3289 |         pandas.core.algorithms
import time:      5628 |       5628 |                 pyarrow._compute
import time:       130 |        130 |                 pyarrow._compute_docstrings
import time:        86 |         86 |                 pyarrow.vendored
import time:       379 |        379 |                     pkgutil
import time:      1428 |       1807 |                   pydoc
import time:      1166 |       2972 |                 pyarrow.vendored.docscrape
import time:     19932 |      28746 |               pyarrow.compute
import time:       249 |      28995 |             pandas.core.arrays.arrow.accessors
import time:       174 |        174 |               pandas.util._validators
import time:       303 |        303 |               pandas.core.missing
import time:       433 |        433 |                   pandas._libs.ops
import time:       105 |        105 |                   pandas.core.roperator
import time:        96 |         96 |                   pandas.core.computation
import time:       168 |        168 |                     pandas.core.computation.check
import time:       276 |        443 |                   pandas.core.computation.expressions
import time:       100 |        100 |                   pandas.core.ops.missing
import time:        89 |         89 |                   pandas.core.ops.dispatch
import time:        98 |         98 |                   pandas.core.ops.invalid
import time:       410 |       1772 |                 pandas.core.ops.array_ops
import time:       116 |        116 |                 pandas.core.ops.common
import time:       156 |        156 |                 pandas.core.ops.docstrings
import time:       105 |        105 |                 pandas.core.ops.mask_ops
import time:       287 |       2434 |               pandas.core.ops
import time:       323 |        323 |               pandas.core.arraylike
import time:       270 |        270 |               pandas.core.arrays._arrow_string_mixins
import time:       101 |        101 |               pandas.core.arrays._utils
import time:       311 |        311 |                 pandas.compat.numpy.function
import time:       120 |        120 |                 pandas.core.array_algos.quantile
import time:       251 |        251 |                 pandas.core.sorting
import time:       750 |       1430 |               pandas.core.arrays.base
import time:       746 |        746 |                 pandas.core.nanops
import time:       111 |        111 |                 pandas.core.array_algos.masked_accumulations
import time:       116 |        116 |                 pandas.core.array_algos.masked_reductions
import time:       100 |        100 |                   pandas.core.util
import time:       312 |        312 |                   pandas._libs.hashing
import time:       232 |        643 |                 pandas.core.util.hashing
import time:       904 |       2517 |               pandas.core.arrays.masked
import time:       233 |        233 |                 pandas._libs.arrays
import time:       219 |        219 |                   pandas.core.arrays.numeric
import time:       197 |        415 |                 pandas.core.arrays.floating
import time:       217 |        217 |                 pandas.core.arrays.integer
import time:        91 |         91 |                     pandas.core.array_algos.transforms
import time:       457 |        548 |                   pandas.core.arrays._mixins
import time:        94 |         94 |                     pandas.core.strings
import time:       556 |        556 |                     pandas.core.strings.base
import time:       454 |       1103 |                   pandas.core.strings.object_array
import time:       442 |       2092 |                 pandas.core.arrays.numpy_
import time:       133 |        133 |                 pandas.io.formats
import time:        88 |         88 |                   pandas.io.formats.console
import time:       379 |        466 |                 pandas.io.formats.printing
import time:       749 |       4302 |               pandas.core.arrays.string_
import time:       100 |        100 |                 pandas.tseries
import time:       395 |        494 |               pandas.tseries.frequencies
import time:      1802 |      14146 |             pandas.core.arrays.arrow.array
import time:       186 |      43325 |           pandas.core.arrays.arrow
import time:       217 |        217 |           pandas.core.arrays.boolean
import time:       366 |        366 |             pandas.core.accessor
import time:       448 |        448 |             pandas.core.base
import time:       843 |       1656 |           pandas.core.arrays.categorical
import time:       424 |        424 |             pandas._libs.tslib
import time:       105 |        105 |               pandas.core.array_algos.datetimelike_accumulations
import time:      1209 |       1313 |             pandas.core.arrays.datetimelike
import time:       115 |        115 |             pandas.core.arrays._ranges
import time:       106 |        106 |             pandas.tseries.offsets
import time:       770 |       2725 |           pandas.core.arrays.datetimes
import time:       450 |        450 |             pandas.core.arrays.timedeltas
import time:      4291 |       4740 |           pandas.core.arrays.interval
import time:       457 |        457 |           pandas.core.arrays.period
import time:       479 |        479 |                 pandas._libs.sparse
import time:       472 |        951 |               pandas.core.arrays.sparse.array
import time:       261 |       1211 |             pandas.core.arrays.sparse.accessor
import time:       145 |       1356 |           pandas.core.arrays.sparse
import time:       302 |        302 |           pandas.core.arrays.string_arrow
import time:       334 |      55108 |         pandas.core.arrays
import time:       119 |        119 |         pandas.core.flags
import time:       452 |        452 |               pandas._libs.internals
import time:        96 |         96 |                 pandas.core._numba
import time:       226 |        321 |               pandas.core._numba.executor
import time:       626 |       1398 |             pandas.core.apply
import time:       229 |        229 |                   pandas._libs.indexing
import time:        96 |         96 |                     pandas.core.indexes
import time:       810 |        810 |                       pandas._libs.index
import time:       319 |        319 |                       pandas._libs.writers
import time:       496 |        496 |                       pandas._libs.join
import time:       118 |        118 |                       pandas.core.array_algos.putmask
import time:       136 |        136 |                       pandas.core.indexes.frozen
import time:      1976 |       1976 |                       pandas.core.strings.accessor
import time:      1819 |       5671 |                     pandas.core.indexes.base
import time:       245 |        245 |                       pandas.core.indexes.extension
import time:       303 |        548 |                     pandas.core.indexes.category
import time:       685 |        685 |                         pandas.core.indexes.range
import time:       116 |        116 |                           pandas.core.tools
import time:       258 |        373 |                         pandas.core.tools.timedeltas
import time:       628 |       1685 |                       pandas.core.indexes.datetimelike
import time:       122 |        122 |                       pandas.core.tools.times
import time:       916 |       2721 |                     pandas.core.indexes.datetimes
import time:      1453 |       1453 |                       pandas.core.indexes.multi
import time:       212 |        212 |                       pandas.core.indexes.timedeltas
import time:       759 |       2422 |                     pandas.core.indexes.interval
import time:       510 |        510 |                     pandas.core.indexes.period
import time:       437 |      12403 |                   pandas.core.indexes.api
import time:      1139 |      13770 |                 pandas.core.indexing
import time:       152 |        152 |                 pandas.core.sample
import time:       122 |        122 |                 pandas.core.array_algos.replace
import time:       918 |        918 |                     pandas.core.internals.blocks
import time:       192 |       1110 |                   pandas.core.internals.api
import time:       752 |        752 |                     pandas.core.internals.base
import time:       357 |        357 |                       pandas.core.internals.ops
import time:       859 |       1216 |                     pandas.core.internals.managers
import time:       549 |       2515 |                   pandas.core.internals.array_manager
import time:       204 |        204 |                   pandas.core.internals.concat
import time:       278 |       4106 |                 pandas.core.internals
import time:       257 |        257 |                 pandas.core.internals.construction
import time:       107 |        107 |                   pandas.core.methods
import time:       149 |        149 |                     pandas.core.reshape
import time:       297 |        446 |                   pandas.core.reshape.concat
import time:        73 |         73 |                       mmap
import time:        40 |         40 |                         pwd
import time:        41 |         41 |                         grp
import time:      1140 |       1219 |                       tarfile
import time:       100 |        100 |                       pandas.core.shared_docs
import time:      1376 |       2767 |                     pandas.io.common
import time:       828 |       3595 |                   pandas.io.formats.format
import time:       375 |       4520 |                 pandas.core.methods.describe
import time:        96 |         96 |                       pandas._libs.window
import time:       577 |        673 |                     pandas._libs.window.aggregations
import time:       318 |        318 |                       pandas._libs.window.indexers
import time:       381 |        698 |                     pandas.core.indexers.objects
import time:       126 |        126 |                     pandas.core.util.numba_
import time:       131 |        131 |                     pandas.core.window.common
import time:       228 |        228 |                     pandas.core.window.doc
import time:       142 |        142 |                     pandas.core.window.numba_
import time:       115 |        115 |                     pandas.core.window.online
import time:      1703 |       1703 |                     pandas.core.window.rolling
import time:       860 |       4671 |                   pandas.core.window.ewm
import time:       834 |        834 |                   pandas.core.window.expanding
import time:       167 |       5671 |                 pandas.core.window
import time:      6233 |      34828 |               pandas.core.generic
import time:       211 |        211 |               pandas.core.methods.selectn
import time:        89 |         89 |                 pandas.core.reshape.util
import time:       142 |        142 |                 pandas.core.tools.numeric
import time:       352 |        582 |               pandas.core.reshape.melt
import time:       413 |        413 |                 pandas._libs.reshape
import time:       615 |        615 |                 pandas.core.indexes.accessors
import time:       122 |        122 |                   pandas.arrays
import time:       601 |        722 |                 pandas.core.tools.datetimes
import time:       846 |        846 |                 pandas.io.formats.info
import time:       832 |        832 |                   pandas.plotting._core
import time:       162 |        162 |                   pandas.plotting._misc
import time:       199 |       1192 |                 pandas.plotting
import time:      4014 |       7800 |               pandas.core.series
import time:      6898 |      50318 |             pandas.core.frame
import time:       716 |        716 |             pandas.core.groupby.base
import time:       905 |        905 |               pandas._libs.groupby
import time:        99 |         99 |                 pandas.core.groupby.categorical
import time:       456 |        554 |               pandas.core.groupby.grouper
import time:       614 |       2073 |             pandas.core.groupby.ops
import time:       120 |        120 |               pandas.core.groupby.numba_
import time:       244 |        244 |               pandas.core.groupby.indexing
import time:      2167 |       2530 |             pandas.core.groupby.groupby
import time:      1717 |      58748 |           pandas.core.groupby.generic
import time:       142 |      58890 |         pandas.core.groupby
import time:       274 |     141169 |       pandas.core.api
import time:       106 |        106 |       pandas.tseries.api
import time:        97 |         97 |               pandas.core.computation.common
import time:       211 |        307 |             pandas.core.computation.align
import time:       379 |        379 |                 pprint
import time:       266 |        644 |               pandas.core.computation.scope
import time:       337 |        981 |             pandas.core.computation.ops
import time:       186 |       1473 |           pandas.core.computation.engines
import time:       113 |        113 |             pandas.core.computation.parsing
import time:       872 |        985 |           pandas.core.computation.expr
import time:       165 |       2621 |         pandas.core.computation.eval
import time:       114 |       2735 |       pandas.core.computation.api
import time:       158 |        158 |         pandas.core.reshape.encoding
import time:       943 |        943 |         pandas.core.reshape.merge
import time:       629 |        629 |         pandas.core.reshape.pivot
import time:       157 |        157 |         pandas.core.reshape.tile
import time:       249 |       2135 |       pandas.core.reshape.api
import time:       146 |        146 |         pandas.api.extensions
import time:       103 |        103 |         pandas.api.indexers
import time:        77 |         77 |             pandas.core.interchange
import time:       758 |        835 |           pandas.core.interchange.dataframe_protocol
import time:       135 |        135 |             pandas.core.interchange.utils
import time:       213 |        347 |           pandas.core.interchange.from_dataframe
import time:       140 |       1321 |         pandas.api.interchange
import time:        86 |         86 |           pandas.core.dtypes.api
import time:       135 |        220 |         pandas.api.types
import time:      1425 |       1425 |           pandas.core.resample
import time:       243 |        243 |                 pandas._libs.json
import time:       162 |        162 |                 pandas.io.json._normalize
import time:       147 |        147 |                 pandas.io.json._table_schema
import time:       599 |        599 |                       pandas._libs.parsers
import time:       495 |        495 |                         pandas.io.parsers.base_parser
import time:       209 |        704 |                       pandas.io.parsers.arrow_parser_wrapper
import time:       211 |        211 |                       pandas.io.parsers.c_parser_wrapper
import time:       438 |        438 |                       pandas.io.parsers.python_parser
import time:      1761 |       3711 |                     pandas.io.parsers.readers
import time:       128 |       3839 |                   pandas.io.parsers
import time:        20 |       3858 |                 pandas.io.parsers.readers
import time:       810 |       5218 |               pandas.io.json._json
import time:       151 |       5368 |             pandas.io.json
import time:        19 |       5386 |           pandas.io.json._json
import time:      2036 |       2036 |           pandas.io.stata
import time:       195 |       9040 |         pandas.api.typing
import time:       210 |      11038 |       pandas.api
import time:       150 |        150 |             pandas._testing.contexts
import time:       228 |        377 |           pandas._testing._io
import time:       130 |        130 |           pandas._testing._warnings
import time:        72 |         72 |               cmath
import time:     29921 |      29992 |             pandas._libs.testing
import time:       343 |      30334 |           pandas._testing.asserters
import time:       130 |        130 |           pandas._testing.compat
import time:       696 |      31666 |         pandas._testing
import time:       133 |      31798 |       pandas.testing
import time:       153 |        153 |       pandas.util._print_versions
import time:       194 |        194 |         pandas.io.clipboards
import time:       167 |        167 |             pandas.io.excel._util
import time:       295 |        295 |             pandas.io.excel._calamine
import time:       294 |        294 |             pandas.io.excel._odfreader
import time:       389 |        389 |             pandas.io.excel._openpyxl
import time:       196 |        196 |             pandas.io.excel._pyxlsb
import time:       211 |        211 |             pandas.io.excel._xlrd
import time:      1520 |       3071 |           pandas.io.excel._base
import time:       238 |        238 |           pandas.io.excel._odswriter
import time:       186 |        186 |           pandas.io.excel._xlsxwriter
import time:       184 |       3677 |         pandas.io.excel
import time:       198 |        198 |         pandas.io.feather_format
import time:       118 |        118 |         pandas.io.gbq
import time:       843 |        843 |         pandas.io.html
import time:       148 |        148 |         pandas.io.orc
import time:       437 |        437 |         pandas.io.parquet
import time:       224 |        224 |           pandas.compat.pickle_compat
import time:       290 |        514 |         pandas.io.pickle
import time:       377 |        377 |           pandas.core.computation.pytables
import time:      2198 |       2575 |         pandas.io.pytables
import time:       217 |        217 |           pandas.io.sas.sasreader
import time:       142 |        358 |         pandas.io.sas
import time:       102 |        102 |         pandas.io.spss
import time:       749 |        749 |         pandas.io.sql
import time:       673 |        673 |         pandas.io.xml
import time:       496 |      11076 |       pandas.io.api
import time:       119 |        119 |       pandas.util._tester
import time:        94 |         94 |       pandas._version_meson
import time:       498 |     211723 |     pandas
import time:       116 |     211839 |   atria_datasets.registry.ser.utilities
import time:      1345 |     213281 | atria_datasets.registry.ser.funsd
import time:       166 |        166 |   textgen
import time:       339 |        505 | textgen.transforms
