import time: self [us] | cumulative | imported package
import time:       354 |        354 |         fire.console.platforms
import time:       135 |        489 |       fire.console.files
import time:       225 |       2027 |     fire.console.console_io
import time:       576 |      38641 |   fire.core
import time:       165 |      38806 | fire
import time:       148 |        148 |       importlib._abc
import time:       122 |        269 |     importlib.util
import time:       269 |        538 |   lazy_loader
import time:       238 |        238 |               atria_logger._constants
import time:       109 |        109 |                 atria_logger._filters
import time:       124 |        124 |                         _datetime
import time:      1075 |       1199 |                       datetime
import time:       309 |        309 |                           numbers
import time:       377 |        685 |                         _decimal
import time:       157 |        841 |                       decimal
import time:        57 |         57 |                           zlib
import time:       195 |        195 |                             _compression
import time:        46 |         46 |                             _bz2
import time:       275 |        515 |                           bz2
import time:        50 |         50 |                             _lzma
import time:       322 |        371 |                           lzma
import time:      1177 |       2118 |                         shutil
import time:      1464 |       1464 |                             html.entities
import time:       396 |       1860 |                           html
import time:       379 |        379 |                           _markupbase
import time:      4391 |       6629 |                         html.parser
import time:       307 |       9052 |                       humanfriendly.compat
import time:        32 |         32 |                               _bisect
import time:       136 |        168 |                             bisect
import time:        41 |         41 |                             _random
import time:        32 |         32 |                             _sha512
import time:       379 |        619 |                           random
import time:       285 |        903 |                         humanfriendly.text
import time:       406 |       1309 |                       humanfriendly.deprecation
import time:       546 |      12945 |                     humanfriendly
import time:       138 |        138 |                       termios
import time:       116 |        116 |                       humanfriendly.decorators
import time:        47 |         47 |                           _csv
import time:       341 |        388 |                         csv
import time:       509 |        896 |                       humanfriendly.usage
import time:       430 |       1579 |                     humanfriendly.terminal
import time:       982 |      15505 |                   coloredlogs
import time:       203 |      15707 |                 atria_logger._utilities
import time:       451 |      16266 |               atria_logger._root
import time:       243 |      16746 |             atria_logger._api
import time:       142 |      16888 |           atria_logger
import time:       294 |        294 |             atria_types
import time:       226 |        519 |           atria_types._constants
import time:        98 |         98 |             atria_types._utilities
import time:       260 |        358 |           atria_types._utilities._repr
import time:      2538 |       2538 |                     typing_extensions
import time:      1089 |       1089 |                     pydantic_core._pydantic_core
import time:      8664 |       8664 |                     pydantic_core.core_schema
import time:       620 |      12909 |                   pydantic_core
import time:       165 |      13074 |                 pydantic.version
import time:       250 |      13323 |               pydantic.warnings
import time:       353 |      13675 |             pydantic._migration
import time:       134 |        134 |                 typing_inspection
import time:       872 |        872 |                 dataclasses
import time:      1127 |       1127 |                 typing_inspection.typing_objects
import time:       790 |       2922 |               typing_inspection.introspection
import time:       178 |        178 |               pydantic._internal
import time:       346 |        346 |                   pydantic._internal._namespace_utils
import time:       460 |        806 |                 pydantic._internal._typing_extra
import time:       239 |       1045 |               pydantic._internal._repr
import time:       417 |       4561 |             pydantic.errors
import time:       355 |      18590 |           pydantic
import time:       140 |        140 |               pydantic._internal._internal_dataclass
import time:       960 |       1100 |             pydantic.aliases
import time:       733 |        733 |             pydantic.config
import time:       305 |       2137 |           pydantic._internal._config
import time:       197 |        197 |             pydantic._internal._core_utils
import time:       104 |        104 |               pydantic._internal._import_utils
import time:      1503 |       1607 |             pydantic._internal._utils
import time:      2789 |       4593 |           pydantic._internal._decorators
import time:       322 |        322 |               pydantic._internal._forward_ref
import time:       334 |        656 |             pydantic._internal._generics
import time:       158 |        158 |             pydantic._internal._docs_extraction
import time:       339 |       1152 |           pydantic._internal._fields
import time:       384 |        384 |               pydantic.plugin
import time:       242 |        626 |             pydantic.plugin._schema_validator
import time:       306 |        931 |           pydantic._internal._mock_val_ser
import time:       629 |        629 |               fractions
import time:        27 |         27 |                 _uuid
import time:       374 |        401 |               uuid
import time:       744 |        744 |                   sysconfig
import time:       436 |        436 |                   _sysconfigdata__linux_x86_64-linux-gnu
import time:       433 |       1613 |                 zoneinfo._tzpath
import time:       135 |        135 |                 zoneinfo._common
import time:        52 |         52 |                 _zoneinfo
import time:       194 |       1993 |               zoneinfo
import time:       121 |        121 |               pydantic.annotated_handlers
import time:      2596 |       2596 |               pydantic.functional_validators
import time:       191 |        191 |                 pydantic._internal._core_metadata
import time:       185 |        185 |                 pydantic._internal._schema_generation_shared
import time:      1734 |       2108 |               pydantic.json_schema
import time:       176 |        176 |               pydantic._internal._discriminated_union
import time:       236 |        236 |               pydantic._internal._known_annotated_metadata
import time:       421 |        421 |               pydantic._internal._schema_gather
import time:      1504 |      10181 |             pydantic._internal._generate_schema
import time:       129 |        129 |             pydantic._internal._signature
import time:       544 |      10853 |           pydantic._internal._model_construction
import time:       157 |        157 |               rich._extension
import time:       279 |        435 |             rich
import time:       251 |        251 |             rich.repr
import time:       110 |        110 |                 attr._compat
import time:        84 |         84 |                   attr._config
import time:       152 |        152 |                     attr.exceptions
import time:       147 |        298 |                   attr.setters
import time:      2921 |       3302 |                 attr._make
import time:       301 |       3712 |               attr.converters
import time:       102 |        102 |               attr.filters
import time:      2968 |       2968 |               attr.validators
import time:       104 |        104 |               attr._cmp
import time:       119 |        119 |               attr._funcs
import time:       144 |        144 |               attr._next_gen
import time:       526 |        526 |               attr._version_info
import time:       421 |       8093 |             attr
import time:       149 |        149 |             rich._loop
import time:       129 |        129 |             rich._pick
import time:       109 |        109 |             rich.abc
import time:       707 |        707 |               rich._cell_widths
import time:       505 |       1211 |             rich.cells
import time:       263 |        263 |                 rich._wrap
import time:       203 |        203 |                             _compat_pickle
import time:        87 |         87 |                             _pickle
